vernacularName,verbatimScientificName,icelandicName
Eurasian Spoonbill,Platalea leucorodia,Flatnefur
Eurasian Thick-knee,Burhinus oedicnemus,Tríll
Eurasian Tree Sparrow,Passer montanus,Trjáspör
Eurasian Wigeon,Mareca penelope,Rauðhöfðaönd
Eurasian Woodcock,Scolopax rusticola,Skógarsnípa
Eurasian Wren,Troglodytes troglodytes,Músarrindill
Eurasian Wryneck,Jynx torquilla,Gauktíta
European Bee-eater,Merops apiaster,Býsvelgur
European Golden-Plover,Pluvialis apricaria,Heiðlóa
European Goldfinch,Carduelis carduelis,Þistilfinka
European Greenfinch,Chloris chloris,Grænfinka
European Pied Flycatcher,Ficedula hypoleuca,Flekkugrípur
European Robin,Erithacus rubecula,Glóbrystingur
European Shag,Phalacrocorax aristotelis,Toppskarfur
European Starling,Sturnus vulgaris,Stari
European Stonechat,Saxicola rubicola,Hagaskvetta
European Storm-Petrel,Hydrobates pelagicus,Stormsvala
European Turtle-Dove,Streptopelia turtur,Turtildúfa
Ferruginous Duck,Aythya nyroca,Jarpönd
Fieldfare,Turdus pilaris,Gráþröstur
Fox Sparrow,Passerella iliaca,Tófutittlingur
Franklin's Gull,Leucophaeus pipixcan,Sléttumáfur
Gadwall,Mareca strepera,Gargönd
Garden Warbler,Sylvia borin,Garðsöngvari
Garganey,Spatula querquedula,Taumönd
Glaucous Gull,Larus hyperboreus,Hvítmáfur
Glaucous-winged Gull,Larus glaucescens,Heiðmáfur
Glossy Ibis,Plegadis falcinellus,Bognefur
Goldcrest,Regulus regulus,Glókollur
Gray Heron,Ardea cinerea,Gráhegri
Gray Wagtail,Motacilla cinerea,Straumerla
Gray-cheeked Thrush,Catharus minimus,Hlýraþröstur
Graylag Goose,Anser anser,Grágæs
Great Bittern,Botaurus stellaris,Sefþvari
Great Black-backed Gull,Larus marinus,Svartbakur
Great Blue Heron,Ardea herodias,Bláhegri
Great Cormorant,Phalacrocorax carbo,Dílaskarfur
Great Crested Grebe,Podiceps cristatus,Toppgoði
Great Egret,Ardea alba,Mjallhegri
Great Gray Shrike,Lanius excubitor,Grásvarri
Great Shearwater,Ardenna gravis,Hettuskrofa
Great Skua,Stercorarius skua,Skúmur
Great Tit,Parus major,Flotmeisa
Greater Sand-Plover,Charadrius leschenaultii,Auðnalóa
Greater Scaup,Aythya marila,Duggönd
Greater Short-toed Lark,Calandrella brachydactyla,Sandlævirki
Greater White-fronted Goose,Anser albifrons,Blesgæs
Greater Whitethroat,Sylvia communis,Þyrnisöngvari
Green Heron,Butorides virescens,Grænhegri
Green Sandpiper,Tringa ochropus,Trjástelkur
Green-winged Teal,Anas crecca,Urtönd
Gull-billed Tern,Gelochelidon nilotica,Sandþerna
Harlequin Duck,Histrionicus histrionicus,Straumönd
Hawfinch,Coccothraustes coccothraustes,Kjarnbítur
Hen Harrier,Circus cyaneus,Bláheiðir
Hermit Thrush,Catharus guttatus,Dulþröstur
Herring Gull,Larus argentatus,Silfurmáfur
Hoary Redpoll,Acanthis hornemanni,Hrímtittlingur
Hooded Crow,Corvus cornix,Grákráka
Hooded Merganser,Lophodytes cucullatus,Kambönd
Horned Grebe,Podiceps auritus,Flórgoði
House Sparrow,Passer domesticus,Gráspör
Hume's Warbler,Phylloscopus humei,Hlíðasöngvari
Iceland Gull,Larus glaucoides,Bjartmáfur
Icterine Warbler,Hippolais icterina,Spésöngvari
Ivory Gull,Pagophila eburnea,Ísmáfur
Jack Snipe,Lymnocryptes minimus,Dvergsnípa
Killdeer,Charadrius vociferus,Skræklóa
King Eider,Somateria spectabilis,Æðarkóngur
Lanceolated Warbler,Locustella lanceolata,Lensusöngvari
Lapland Longspur,Calcarius lapponicus,Sportittlingur
Laughing Gull,Leucophaeus atricilla,Hláturmáfur
Leach's Storm-Petrel,Oceanodroma leucorhoa,Sjósvala
Least Flycatcher,Empidonax minimus,Stúfgreipur
Least Sandpiper,Calidris minutilla,Mærutíta
Lesser Black-backed Gull,Larus fuscus,Sílamáfur
Lesser Scaup,Aythya affinis,Kúfönd
Lesser Whitethroat,Sylvia curruca,Netlusöngvari
Lesser Yellowlegs,Tringa flavipes,Hrísastelkur
Lincoln's Sparrow,Melospiza lincolnii,Brjósttittlingur
Little Bunting,Emberiza pusilla,Dvergtittlingur
Little Egret,Egretta garzetta,Bjarthegri
Little Grebe,Tachybaptus ruficollis,Dverggoði
Little Gull,Hydrocoloeus minutus,Dvergmáfur
Little Ringed Plover,Charadrius dubius,Vatnalóa
Little Stint,Calidris minuta,Veimiltíta
Little Tern,Sternula albifrons,Dvergþerna
Long-billed Dowitcher,Limnodromus scolopaceus,Kanaduðra
